zip_5,domaincat_desc,group_desc,week_ending,sector_desc,class_desc,asd_code,watershed_desc,commodity_desc,county_code,state_name,domain_desc,Value,location_desc,freq_desc,short_desc,reference_period_desc,util_practice_desc,county_ansi,county_name,watershed_code,statisticcat_desc,source_desc,year,country_name,agg_level_desc,unit_desc,congr_district_code,prodn_practice_desc,CV (%),state_fips_code,end_code,begin_code,country_code,region_desc,state_ansi,asd_desc,load_time,state_alpha
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,OTHER STATES,TOTAL,0,OTHER STATES,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2021,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,98,00,00,9000,,,,2024-01-09 15:00:00.000,OT
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,OTHER STATES,TOTAL,0,OTHER STATES,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2020,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,98,00,00,9000,,,,2024-01-09 15:00:00.000,OT
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,OTHER STATES,TOTAL,0,OTHER STATES,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2019,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,98,00,00,9000,,,,2024-01-09 15:00:00.000,OT
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,OTHER STATES,TOTAL,0,OTHER STATES,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2018,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,98,00,00,9000,,,,2024-01-09 15:00:00.000,OT
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,OTHER STATES,TOTAL,0,OTHER STATES,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2017,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,98,00,00,9000,,,,2018-01-12 12:02:42.000,OT
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,OTHER STATES,TOTAL,0,OTHER STATES,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2015,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,98,00,00,9000,,,,2016-01-12 13:18:01.000,OT
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ALABAMA,TOTAL,"60,000",ALABAMA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2025,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,01,00,00,9000,,01,,2026-01-12 12:00:00.000,AL
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ALABAMA,TOTAL,"64,000",ALABAMA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2024,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,01,00,00,9000,,01,,2025-09-30 12:00:00.000,AL
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ALABAMA,TOTAL,"64,000",ALABAMA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2023,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,01,00,00,9000,,01,,2024-09-30 12:00:00.000,AL
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ALABAMA,TOTAL,"60,000",ALABAMA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2022,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,01,00,00,9000,,01,,2024-01-09 15:00:00.000,AL
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ALABAMA,TOTAL,"90,000",ALABAMA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2021,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,01,00,00,9000,,01,,2024-01-09 15:00:00.000,AL
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ALABAMA,TOTAL,"80,000",ALABAMA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2020,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,01,00,00,9000,,01,,2024-01-09 15:00:00.000,AL
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ALABAMA,TOTAL,"91,000",ALABAMA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2019,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,01,00,00,9000,,01,,2024-01-09 15:00:00.000,AL
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ALABAMA,TOTAL,"80,000",ALABAMA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2018,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,01,00,00,9000,,01,,2024-01-09 15:00:00.000,AL
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ALABAMA,TOTAL,"119,000",ALABAMA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2017,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,01,00,00,9000,,01,,2019-02-06 15:00:06.000,AL
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ALABAMA,TOTAL,"112,000",ALABAMA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2016,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,01,00,00,9000,,01,,2019-02-06 15:00:06.000,AL
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ALABAMA,TOTAL,"135,000",ALABAMA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2015,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,01,00,00,9000,,01,,2019-02-06 15:00:06.000,AL
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARIZONA,TOTAL,"1,392,000",ARIZONA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2025,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,04,00,00,9000,,04,,2026-01-12 12:00:00.000,AZ
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARIZONA,TOTAL,"1,350,000",ARIZONA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2024,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,04,00,00,9000,,04,,2025-09-30 12:00:00.000,AZ
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARIZONA,TOTAL,"1,782,000",ARIZONA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2023,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,04,00,00,9000,,04,,2024-09-30 12:00:00.000,AZ
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARIZONA,TOTAL,"1,232,000",ARIZONA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2022,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,04,00,00,9000,,04,,2024-01-09 15:00:00.000,AZ
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARIZONA,TOTAL,"2,128,000",ARIZONA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2021,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,04,00,00,9000,,04,,2024-01-09 15:00:00.000,AZ
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARIZONA,TOTAL,"1,305,000",ARIZONA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2020,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,04,00,00,9000,,04,,2024-01-09 15:00:00.000,AZ
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARIZONA,TOTAL,"1,450,000",ARIZONA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2019,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,04,00,00,9000,,04,,2024-01-09 15:00:00.000,AZ
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARIZONA,TOTAL,"1,682,000",ARIZONA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2018,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,04,00,00,9000,,04,,2024-01-09 15:00:00.000,AZ
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARIZONA,TOTAL,"992,000",ARIZONA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2017,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,04,00,00,9000,,04,,2019-02-06 15:00:06.000,AZ
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARIZONA,TOTAL,"1,320,000",ARIZONA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2016,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,04,00,00,9000,,04,,2019-02-06 15:00:06.000,AZ
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARIZONA,TOTAL,"1,178,000",ARIZONA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2015,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,04,00,00,9000,,04,,2019-02-06 15:00:06.000,AZ
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARKANSAS,TOTAL,"39,000",ARKANSAS,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2025,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,05,00,00,9000,,05,,2026-01-12 12:00:00.000,AR
