statisticcat_desc,zip_5,group_desc,week_ending,agg_level_desc,congr_district_code,country_name,year,state_alpha,freq_desc,source_desc,watershed_desc,region_desc,sector_desc,location_desc,domain_desc,asd_desc,watershed_code,load_time,county_ansi,util_practice_desc,asd_code,county_code,county_name,unit_desc,Value,state_name,domaincat_desc,state_fips_code,begin_code,state_ansi,prodn_practice_desc,reference_period_desc,class_desc,commodity_desc,short_desc,end_code,CV (%),country_code
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2026,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2026-08-12 12:00:00.000,,GRAIN,,,,BU,"79,890,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2026,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2026-08-12 12:00:00.000,,GRAIN,,,,BU,"79,890,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2025,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2026-01-12 12:00:00.000,,GRAIN,,,,BU,0,OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2025,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2025-08-12 12:00:00.000,,GRAIN,,,,BU,"75,563,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2025,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2025-11-14 12:00:00.000,,GRAIN,,,,BU,"76,539,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - NOV FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2025,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2025-09-12 12:00:00.000,,GRAIN,,,,BU,"76,539,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - SEP FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2024,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2025-01-10 12:00:00.000,,GRAIN,,,,BU,0,OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2024,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2024-08-12 12:00:00.000,,GRAIN,,,,BU,"78,494,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2024,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2024-11-08 12:00:00.000,,GRAIN,,,,BU,"78,174,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - NOV FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2024,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2024-10-11 12:00:00.000,,GRAIN,,,,BU,"78,174,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - OCT FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
