state_ansi,prodn_practice_desc,class_desc,reference_period_desc,commodity_desc,end_code,short_desc,CV (%),country_code,state_fips_code,begin_code,county_name,unit_desc,Value,state_name,domaincat_desc,county_ansi,util_practice_desc,asd_code,county_code,location_desc,domain_desc,asd_desc,watershed_code,load_time,watershed_desc,region_desc,sector_desc,agg_level_desc,week_ending,congr_district_code,country_name,year,state_alpha,freq_desc,source_desc,statisticcat_desc,zip_5,group_desc
,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,98,09,,BU,"116,079,000",OTHER STATES,NOT SPECIFIED,,GRAIN,,,OTHER STATES,TOTAL,,00000000,2026-01-12 12:00:00.000,,,CROPS,STATE,,,UNITED STATES,2025,OT,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,98,09,,BU,"134,527,000",OTHER STATES,NOT SPECIFIED,,GRAIN,,,OTHER STATES,TOTAL,,00000000,2025-01-10 12:00:00.000,,,CROPS,STATE,,,UNITED STATES,2024,OT,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,98,09,,BU,"106,951,000",OTHER STATES,NOT SPECIFIED,,GRAIN,,,OTHER STATES,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2023,OT,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,98,09,,BU,"128,930,000",OTHER STATES,NOT SPECIFIED,,GRAIN,,,OTHER STATES,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2022,OT,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,98,09,,BU,"133,239,000",OTHER STATES,NOT SPECIFIED,,GRAIN,,,OTHER STATES,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2021,OT,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,98,09,,BU,"126,360,000",OTHER STATES,NOT SPECIFIED,,GRAIN,,,OTHER STATES,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2020,OT,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,98,09,,BU,"125,795,000",OTHER STATES,NOT SPECIFIED,,GRAIN,,,OTHER STATES,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2019,OT,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,98,09,,BU,"119,063,000",OTHER STATES,NOT SPECIFIED,,GRAIN,,,OTHER STATES,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2018,OT,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,98,09,,BU,"108,173,000",OTHER STATES,NOT SPECIFIED,,GRAIN,,,OTHER STATES,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2017,OT,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,98,09,,BU,"100,956,000",OTHER STATES,NOT SPECIFIED,,GRAIN,,,OTHER STATES,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2016,OT,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
