state,county,locations,func_units,state_func_total,state_capacity_bu,est_capacity_bu
AL,Dallas,1,11.0,49.0,20519000,4606306
AL,Lauderdale,1,9.0,49.0,20519000,3768796
AL,Marshall,2,8.0,49.0,20519000,3350041
AL,Morgan,2,7.0,49.0,20519000,2931286
AL,Perry,1,10.0,49.0,20519000,4187551
AL,Pickens,1,4.0,49.0,20519000,1675020
AR,Arkansas,10,13.0,224.0,273748000,15887161
AR,Ashley,2,6.0,224.0,273748000,7332536
AR,Chicot,4,9.0,224.0,273748000,10998804
AR,Clay,3,6.0,224.0,273748000,7332536
AR,Conway,1,2.0,224.0,273748000,2444179
AR,Craighead,5,5.0,224.0,273748000,6110446
AR,Crawford,1,4.0,224.0,273748000,4888357
AR,Crittenden,5,21.0,224.0,273748000,25663875
AR,Cross,7,17.0,224.0,273748000,20775518
AR,Desha,8,25.0,224.0,273748000,30552232
AR,Drew,1,1.0,224.0,273748000,1222089
AR,Greene,1,1.0,224.0,273748000,1222089
AR,Jackson,5,7.0,224.0,273748000,8554625
AR,Jefferson,3,11.0,224.0,273748000,13442982
AR,Lonoke,5,5.0,224.0,273748000,6110446
AR,Mississippi,5,26.0,224.0,273748000,31774321
AR,Monroe,1,1.0,224.0,273748000,1222089
AR,Phillips,4,22.0,224.0,273748000,26885964
AR,Poinsett,8,24.0,224.0,273748000,29330143
AR,Prairie,3,3.0,224.0,273748000,3666268
AR,Pulaski,1,1.0,224.0,273748000,1222089
AR,Randolph,2,2.0,224.0,273748000,2444179
AR,St. Francis,1,1.0,224.0,273748000,1222089
AR,White,2,2.0,224.0,273748000,2444179
AR,Woodruff,5,9.0,224.0,273748000,10998804
AZ,Pinal,2,5.0,8.0,4843000,3026875
AZ,Yuma,1,3.0,8.0,4843000,1816125
CA,Butte,4,3.0,41.0,118839000,8695537
CA,Colusa,13,18.0,41.0,118839000,52173220
CA,Glenn,3,8.0,41.0,118839000,23188098
CA,San Joaquin,1,1.0,41.0,118839000,2898512
CA,Sutter,6,6.0,41.0,118839000,17391073
CA,Yolo,3,3.0,41.0,118839000,8695537
CA,Yuba,2,2.0,41.0,118839000,5797024
CO,Adams,4,11.0,553.0,110461000,2197235
CO,Arapahoe,1,44.0,553.0,110461000,8788940
CO,Baca,12,142.0,553.0,110461000,28364307
CO,Cheyenne,1,43.0,553.0,110461000,8589192
CO,Denver,1,2.0,553.0,110461000,399497
CO,Dolores,1,1.0,553.0,110461000,199749
CO,Kiowa,4,24.0,553.0,110461000,4793967
CO,Kit Carson,6,26.0,553.0,110461000,5193465
CO,Lincoln,4,14.0,553.0,110461000,2796481
CO,Logan,5,9.0,553.0,110461000,1797738
CO,Morgan,3,24.0,553.0,110461000,4793967
CO,Phillips,5,19.0,553.0,110461000,3795224
CO,Prowers,3,19.0,553.0,110461000,3795224
CO,Sedgwick,2,9.0,553.0,110461000,1797738
CO,Washington,4,37.0,553.0,110461000,7390700
CO,Weld,7,28.0,553.0,110461000,5592962
CO,Yuma,8,101.0,553.0,110461000,20174613
DE,Sussex,3,8.0,8.0,9188000,9188000
GA,Decatur,1,1.0,6.0,14066000,2344333
GA,Hall,1,1.0,6.0,14066000,2344333
GA,Lowndes,1,1.0,6.0,14066000,2344333
GA,Randolph,1,2.0,6.0,14066000,4688667
GA,Terrell,1,1.0,6.0,14066000,2344333
IA,Adair,4,118.0,8665.0,1440470000,19616325
IA,Adams,1,1.0,8665.0,1440470000,166240
IA,Allamakee,4,28.0,8665.0,1440470000,4654721
IA,Appanoose,1,4.0,8665.0,1440470000,664960
IA,Audubon,1,58.0,8665.0,1440470000,9641923
IA,Benton,4,8.0,8665.0,1440470000,1329920
IA,Black Hawk,8,184.0,8665.0,1440470000,30588168
IA,Boone,5,221.0,8665.0,1440470000,36739050
IA,Bremer,6,121.0,8665.0,1440470000,20115046
IA,Buchanan,5,21.0,8665.0,1440470000,3491041
IA,Buena Vista,8,130.0,8665.0,1440470000,21611206
IA,Butler,9,237.0,8665.0,1440470000,39398891
IA,Calhoun,11,99.0,8665.0,1440470000,16457765
IA,Carroll,9,156.0,8665.0,1440470000,25933447
IA,Cass,5,144.0,8665.0,1440470000,23938567
IA,Cedar,5,23.0,8665.0,1440470000,3823521
IA,Cerro Gordo,12,59.0,8665.0,1440470000,9808163
